node_id,neighbors_with_weights
0,"[(1, 12.379754288136315)]"
1,"[(8286, 12.728203628584426), (8287, 6.19265175946755), (8288, 4.206716832405152)]"
2,"[(3, 13.011725409654863)]"
3,"[(14444, 2.2148223745944287), (7373, 4.566582570136262)]"
4,"[(5, 8.242355057688039)]"
5,"[(841, 10.082735579847737)]"
6,"[(7, 4.957748514217729), (8, 11.272278753631669)]"
7,"[(11913, 7.672236710866423)]"
8,"[(8299, 10.48424137834788)]"
9,"[(10, 12.485091215920528), (11, 53.34896950966439)]"
10,"[(10581, 9.664124602484229)]"
11,"[(2869, 26.079880677773716), (2871, 3.4288321709899217)]"
12,"[(13, 12.062001466618472), (14, 15.24655581297426), (15, 59.24703150761752), (16, 39.33083434713272)]"
13,"[(12, 12.062001466618472), (19, 37.82086479582238)]"
14,"[(1945, 62.332977716136774)]"
15,"[(2099, 4.652045523553641)]"
16,"[(8280, 22.023667747058425), (12, 39.33083434713272)]"
17,"[(18, 11.225592027658704), (19, 15.097602308397532), (20, 12.283896800691108)]"
18,"[(4444, 52.7899265373087)]"
19,"[(13, 37.82086479582238), (17, 15.097602308397532)]"
20,"[(1550, 15.404825165195094)]"
21,"[(22, 10.617318108847675)]"
22,"[(176, 21.17738816434424), (177, 11.687368454602092)]"
23,"[(25, 88.46799328617755), (17815, 50)]"
24,"[(827, 2.795335172020754), (17816, 50)]"
25,"[(267, 20.441116222754292)]"
26,"[(27, 36.46049617149809), (29, 80.41505462225722), (17817, 50)]"
27,"[(26, 36.46049617149809), (1946, 30.339631969305106)]"
28,"[(1317, 92.07669504805688), (1318, 25.63954159368023), (883, 81.4622599714927), (17818, 50)]"
29,"[(8280, 9.942406143463154)]"
30,"[(31, 27.761217389974437), (32, 10.19063949626771), (33, 59.851197031231), (34, 25.18061000666593)]"
31,"[(6040, 35.16719858550112), (6041, 51.05983756321939)]"
32,"[(30, 10.19063949626771), (2102, 21.471553612859115)]"
33,"[(45, 76.26969658930396), (30, 59.851197031231), (17819, 50)]"
34,"[(35, 7.695578107422232), (30, 25.18061000666593)]"
35,"[(1296, 27.804729226385064), (34, 7.695578107422232)]"
36,"[(38, 51.74001699159821), (39, 35.78878491626643), (17820, 50)]"
37,"[(167, 75.77993688005537)]"
38,"[(4167, 12.125309743467712), (36, 51.74001699159821)]"
39,"[(1295, 60.58686720078178), (36, 35.78878491626643), (1296, 38.58391609561735)]"
40,"[(41, 6.232209738362378)]"
41,"[(171, 5.517790462861499)]"
42,"[(43, 15.547309400086684)]"
43,"[(1297, 70.60353782457247), (1298, 16.166507012663878), (666, 69.40026165806259)]"
44,"[(42, 24.099582453973518)]"
45,"[(33, 76.26969658930396), (46, 41.67855116835643)]"
46,"[(2172, 13.108786536229198)]"
47,"[(48, 43.52387276238616)]"
48,"[(45, 91.21134841405559), (770, 95.65207682824189), (659, 79.92045707558074)]"
49,"[(50, 11.103424164503032), (51, 11.489797938287722)]"
50,"[(17821, 50)]"
51,"[(47, 48.21656206088681)]"
52,"[(53, 67.06015201506715), (54, 78.22383967647451)]"
53,"[(6050, 74.27980235970247), (6049, 28.795406569231783)]"
54,"[(76, 71.0216694622249), (17822, 50)]"
55,"[(56, 78.38173085967867)]"
56,"[(1661, 28.50698473527101)]"
57,"[(58, 77.83742566050984)]"
58,"[(59, 28.55977979334317)]"
59,"[(164, 18.80899323531983)]"
60,"[(61, 80.9866310193716), (62, 65.76523243931365), (63, 52.19028712958758), (64, 65.38968929699908)]"
61,"[(1288, 11.652415848623413), (60, 80.9866310193716)]"
62,"[(60, 65.76523243931365), (17681, 3.159008494647496)]"
63,"[(6401, 24.79101979045506), (6400, 4.048143203940492), (60, 52.19028712958758)]"
64,"[(4418, 95.05349870825744), (4426, 44.25893942011813), (60, 65.38968929699908), (4427, 39.30745145768177)]"
